"SbjNum","Nquest","Data_ENTREVISTA","MUN","UF","REG","T_ZONA","T_RESID","D02","T_D01A_1","T_D01A_2","T_D01A_3","D01A_IDADE","D01A_FX_ID","D03","D06","D06a","D08","D07a","Q01","Q02a","Q02b","Q02c","Q02d","Q02e","Q02f","Q02g","Q03","Q04a","Q04b","Q04c","Q04d","Q05a","Q05b","Q05c","Q06","Q07a","Q07b","Q07c","Q07d","Q07e","Q07f","Q07g","Q07h","Q07i","Q07j","Q07l","Q07m","Q07n","Q07o","Q08","Q08b","Q09","Q10P1a","Q10P1b","Q10P2a","Q10P2b","Q10G1","Q10G2","Q10CD","Q10AL","Q10AL_DF","Q10S","Q11a","Q11b","Q11c","Q12","Q13","Q14A","Q14A2","Q14B","Q14B_agregada","Q14B2","Q14B2_agregada","Q14G1","Q14G1_agregada","Q14G2","Q14G2_agregada","Q14S1","Q14S1_agregada","Q14S2","Q14S2_agregada","Q14CD","Q14CD_agregada","Q14AL","Q14AL_agregada","Q14AL_DF","Q15","Q16_1","Q16_2","Q16_3","Q16_4","Q16_5","Q16_6","Q16_7","Q16_8","Q16_9","Q16_10","Q16_11","Q16_12","Q16_13","Q17_1","Q17_2","Q17_3","Q17_4","Q17_5","Q17_6","Q17_7","Q17_8","Q17_9","Q17_10","Q17_11","Q17_12","Q17_13","Q18_1","Q18_2","Q18_3","Q18_4","Q18_5","Q18_6","Q18_7","Q18_8","Q18_9","Q18_10","Q18_11","Q18_12","Q18_13","Q19","Q22","Q23a","Q23b","Q23c","Q23d","Q24","Q25a","Q25b","Q26a","Q26b","Q27a","Q27b","Q27c","Q27d","Q28_codigos_desagregados","Q28_codigos_agregados1","Q29","Q30a","Q30b","Q30c","Q31_1","Q31_2","Q31_3","Q31_4","Q31_5","Q31_6","Q31_7","Q31_8","Q31_9","Q31_10","Q31_11","Q31_12","Q31_13","Q31_14","Q32","D04","D05","D09_RENDAF","D09a_FX_RENDAF","D09a_RENDAF","D11","D10","D10a","D12_COR","D12a","D20","ID_entrevistador","sexo_entrevistador","peso"
"177011603",1.0,"11/19/2022",3304557,33,1,1,1,1,3.0,11.0,1961.0,61.0,6,9,4,1,3,3,1,0,4,0,0,7,7,3,2,1,1,5,5,5,5,1,6,2,4,1,1,2,2,3,2,4,2,2,2,1,1,5,4,5,1,6,1,2,33006,,97,97,,33001,1,,,3,5,1,1,5,1,1,1,33003,1,33002,1,33009,1,33004,1,97,3,97,3,,5,3,1,1,1,9,4,5,5,8,7,4,2,5,4,1,1,0,8,6,4,3,8,7,7,5,6,0,10,9,6,0,6,6,5,0,0,8,7,6,0,4,1,,4,2,2,5,5,3,4,4,4,4,1,40,40,1,2,2,2,2,1,1,2,1,1,1,2,1,2,2,1,1,2,1,5,2,4000,4,,5,10,,8,1,2.0,101.0,1,0.410914115108102
"177011604",2.0,"11/19/2022",3304557,33,1,1,1,2,10.0,4.0,1964.0,58.0,6,9,15,,,,1,0,7,7,7,7,7,3,1,1,1,5,5,5,5,5,5,2,4,2,1,2,2,2,2,3,3,3,3,2,2,5,4,5,1,6,1,2,33006,,214,171,,33001,1,,,3,1,1,1,5,1,1,1,33006,1,33002,1,33004,1,33009,1,223,1,97,3,,5,3,0,1,1,10,7,97,2,10,1,97,0,2,2,0,0,0,10,7,1,3,10,10,2,1,7,5,10,10,8,0,0,4,7,0,8,10,10,5,0,2,1,,4,2,3,5,5,4,4,4,4,5,1,51,13,1,2,2,2,2,1,1,2,1,1,1,2,1,2,2,1,1,2,2,3,2,999997,97,2,5,3,,8,2,2.0,101.0,1,0.498805315506212
"177011605",3.0,"11/19/2022",3304557,33,1,1,1,2,15.0,8.0,1972.0,50.0,5,7,4,2,5,3,1,0,0,2,0,7,7,2,1,1,5,3,3,4,2,3,10,4,1,4,2,4,2,4,3,4,3,1,2,1,2,1,1,2,1,4,1,1,33001,,97,97,,33007,1,,,3,5,1,1,9,1,2,1,60,4,33001,1,97,3,97,3,97,3,97,3,,5,0,10,4,96,0,0,2,0,0,0,0,0,0,0,10,7,7,0,0,0,0,0,0,5,0,0,0,10,0,97,0,0,0,0,0,97,97,97,97,10,5,1,,24,2,3,5,5,3,4,4,4,4,2,4,4,2,1,1,1,1,2,1,1,2,1,2,2,2,1,1,1,1,2,2,3,2,2500,3,,5,97,,9,2,2.0,101.0,1,0.93445404258261
"177011606",4.0,"11/19/2022",3304557,33,1,1,1,2,2.0,7.0,1958.0,64.0,6,8,13,,,,1,0,0,6,7,7,7,2,1,1,5,5,1,1,1,1,8,3,2,4,2,3,3,1,2,2,2,1,2,1,3,1,2,1,1,4,1,1,33001,,97,97,,33006,1,,,3,5,1,1,9,1,2,1,33003,1,33001,1,33013,1,33013,1,97,3,97,3,,5,4,10,0,2,0,4,5,1,0,0,2,1,0,0,10,7,6,0,0,0,3,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,10,10,10,5,1,,24,2,3,5,5,3,4,5,5,4,1,9,1,2,1,1,1,1,2,2,3,2,1,2,2,1,1,2,1,1,1,2,1,2,7000,5,,2,3,,5,2,3.0,101.0,1,1.44677126708343
"177011607",5.0,"11/19/2022",3304557,33,1,1,1,2,11.0,6.0,1982.0,40.0,4,5,15,,,,1,7,7,0,7,0,7,2,1,1,5,5,1,5,5,4,5,1,1,4,1,4,1,4,2,2,4,4,4,4,1,5,4,5,5,,5,,,,,,,,,,4,4,5,6,6,,,,,,,,,,,,,,,,,,5,0,5,96,6,10,10,10,10,0,96,5,5,10,0,0,0,5,10,5,96,10,96,5,5,96,5,95,95,95,95,95,95,95,95,95,95,95,95,95,95,4,1,,4,2,2,4,4,4,3,4,3,5,1,7,7,2,1,1,1,1,2,1,2,1,1,2,1,97,1,2,1,1,97,1,1,2,600,1,,1,5,1,9,1,5.0,101.0,1,0.616086888989646
"177011608",6.0,"11/19/2022",3304557,33,1,1,1,2,26.0,5.0,1999.0,23.0,2,6,15,,,,3,7,7,0,2,7,7,1,4,4,5,5,1,5,1,1,4,3,3,1,3,3,3,3,1,1,3,3,2,3,3,3,3,4,1,4,1,2,60,,50,50,,50,2,,,3,1,1,1,50,4,50,4,50,4,50,4,50,4,50,4,50,4,50,4,,4,4,2,96,96,5,0,0,3,0,0,96,96,5,10,0,10,10,10,0,0,10,5,10,0,10,10,10,0,0,10,0,10,0,10,10,0,0,10,0,0,4,2,2,,,2,5,5,3,4,4,5,5,1,40,40,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1,2,1,2,1500,2,,2,3,,7,1,2.0,101.0,1,0.423580088552269
"177011609",7.0,"11/19/2022",3304557,33,1,1,1,1,10.0,11.0,1947.0,75.0,7,2,14,,,,1,7,7,7,0,0,0,,1,1,1,5,1,5,5,5,10,1,3,3,3,3,1,3,1,3,1,4,3,1,3,5,4,5,2,,2,,,,,,,,,,1,3,1,2,2,,,,,,,,,,,,,,,,,,5,10,0,2,5,10,10,10,8,5,5,2,2,8,8,0,0,5,10,10,5,5,2,10,5,5,10,0,10,95,5,0,0,0,0,0,10,10,10,0,0,1,1,,4,1,1,1,1,1,3,2,5,2,1,11,11,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,6,2,4000,4,,3,4,,2,5,5.0,101.0,1,0.598161043966367
"177021404",8.0,"11/19/2022",5002704,50,3,1,2,2,19.0,1.0,1982.0,40.0,4,10,1,1,1,3,1,0,0,4,7,7,7,2,2,4,1,5,4,4,5,5,0,2,2,2,1,2,4,3,1,3,2,2,2,2,2,1,2,1,1,4,1,1,50002,50001,97,97,,50004,1,,,4,5,1,1,9,1,2,1,50003,1,50002,1,50009,1,50010,1,97,3,97,3,,5,5,5,2,3,0,5,6,7,0,96,7,6,8,7,10,6,2,0,5,96,4,0,0,96,96,1,10,10,96,97,0,10,10,10,0,97,10,97,10,10,5,1,,1,1,2,5,5,4,3,5,2,4,1,40,40,2,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,1,2,2,3,1,2200,2,,1,3,,2,3,2.0,102.0,2,0.710808932051449
"177022968",9.0,"11/19/2022",5002704,50,3,1,1,2,15.0,2.0,1970.0,52.0,5,4,2,1,6,3,3,3,3,0,0,0,0,,4,2,2,3,1,2,1,5,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,2,4,2,6,,6,,,,,,,,,,3,3,1,1,1,5,1,1,1,50006,1,50001,1,50009,1,50013,1,97,3,97,3,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,,,3,5,5,3,3,4,4,4,1,,,1,1,1,2,1,1,1,2,2,2,1,1,1,1,2,1,1,2,2,1,2,5000,4,,4,3,,2,3,4.0,103.0,1,2.19551687618631
"177023928",10.0,"11/19/2022",5002704,50,3,1,1,2,20.0,6.0,1962.0,60.0,6,7,4,1,5,3,1,2,3,0,0,0,2,,4,1,4,1,5,2,2,1,5,1,3,3,3,4,3,3,1,4,1,1,3,1,1,2,2,2,1,4,1,1,50004,50002,97,378,,50007,4,,,4,5,1,1,9,1,2,1,50006,1,50001,1,50008,1,50009,1,,,212,1,,3,5,5,5,2,0,5,3,5,5,5,0,2,5,5,8,9,96,0,5,2,96,96,7,96,96,3,2,10,8,3,0,3,5,6,4,5,5,5,8,10,4,1,,1,2,3,5,5,3,4,4,4,4,1,40,40,2,97,1,1,1,3,2,1,2,2,2,3,3,1,3,1,1,1,2,4,2,4000,4,,3,3,,2,3,3.0,102.0,2,1.27642341715646
